id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
2240,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,"(Linnaeus, 1758)",Green turtle,Heron Reef/Wistari Reef,Australia,Oceania,-23.45,151.91667,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals (adults and immatures),Capture-mark-recapture,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,560,1000,940,880,1460,1240,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2248,Aves,Suliformes,Sulidae,Papasula,abbotti,,"(Ridgway, 1893)",Abbott's booby,Christmas Island,"Christmas Island, Australia",Oceania,-10.5,105.66667,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of breeding pairs,Unknown,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2249,Aves,Suliformes,Sulidae,Papasula,abbotti,,"(Ridgway, 1893)",Abbott's booby,Christmas Island,Christmas Island,Oceania,-10.5,105.66667,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of breeding pairs,Estimate,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2269,Actinopteri,Gadiformes,Gadidae,Micromesistius,australis,pallidus,Norman 1937,Southen blue whiting,"Campbell Island, New Zealand",New Zealand,Oceania,-52.5,169.08333,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Spawning stock biomass/tonnes,SPA,No,,,,NA,NA,NA,NA,NA,NA,105919.9,85707.28,70596.89,69026.98,84627.96,89533.93,85707.28,71283.73,62747.34,55780.87,48716.27,42044.15,43221.59,41553.56,52248.57,108176.6,162044.2,180294.4,181766.1,167931.3,161651.7,157334.4,142812.8,134767,126426.8,140261.7,150760.4,155372,150858.5,143401.5,165478.3,188928.9,197857.7,NA,NA,NA
2283,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,patagonicus,,"Miller, 1778",King penguin,Macquarie Island,Australia,Oceania,-54.61667,158.9,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Artificial percentage increase,Unknown,No,100,109.3,119.4649,130.57514,142.71862,155.99146,170.49866,186.35504,203.68605,222.62886,243.33334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2289,Aves,Procellariiformes,Diomedeidae,Thalassarche,cauta,,"(Gould, 1841)",Shy albatross,"Albatross Island, Tasmania",Australia,Oceania,-40.37639,144.65556,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of breeding pairs,Survey,No,,,,1505,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2300,Aves,Sphenisciformes,Spheniscidae,Megadyptes,antipodes,,"(Hombron & Jacquinot, 1841)",Yellow-eyed penguin,"Otago Peninsula, South Island, New Zealand",New Zealand,Oceania,-45.866667,170.666667,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of breeding pairs,Nest searches in some areas, beach counts in others,No,,,NA,NA,NA,NA,NA,NA,NA,NA,472,434,452,434,500,508,323,282,402,316,120,303,349,389,412,488,630,562,542,478,445,572,419,405,366,413,445,475,548,464,NA,NA,NA,NA
5668,Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae,,"(Borowski, 1781)",Humpback whale,"Hervey Bay, Queensland, Australia",Australia,Oceania,-25.26528,152.85917,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Mean Annual Population Estimate,Observations and individual photo ID.,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,705,847,1038,935,998,811,825,913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5849,Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae,,"(Borowski, 1781)",Humpback whale,"Carnarvon area, Western Australia",Australia,Oceania,-26,112,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Individuals seen per flying hour (July),Unknown,No,,,,NA,NA,NA,0.96,1.2,0.94,NA,NA,NA,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6341,Actinopteri,Clupeiformes,Clupeidae,Sardinella,lemuru,,Bleeker 1853,Bali sardinella,"Geelvink Channel, Western Australia",Australia,Oceania,-28.5,114.25,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,kg/hr searched,mean monthly catch,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2625,8325,5600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
